"code","site","site_type","latitude","longitude","variable","Parameter_name","start_date","end_date","zone","agglomeration","provider","pcode","source"
"BG3","Barking and Dagenham - North Street","Urban Traffic",51.540444,0.074418,"NO2","Nitrogen dioxide",2007-04-11,"2011-05-24","Greater London","Greater London Urban Area","Londonair","london","local"
"BG1","Barking and Dagenham - Rush Green","Suburban Background",51.563752,0.177891,"NO2","Nitrogen dioxide",2000-03-22,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BG1","Barking and Dagenham - Rush Green","Suburban Background",51.563752,0.177891,"SO2","Sulphur dioxide",2000-03-22,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BG2","Barking and Dagenham - Scrattons Farm","Suburban Background",51.529389,0.132857,"NO2","Nitrogen dioxide",2007-11-21,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BG2","Barking and Dagenham - Scrattons Farm","Suburban Background",51.529389,0.132857,"PM10","PM10 particulate matter (Hourly measured)",1999-10-23,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BN3","Barnet - Strawberry Vale ","Urban Background",51.600885,-0.172298,"NO2","Nitrogen dioxide",2000-08-15,"2002-05-15","Greater London","Greater London Urban Area","Londonair","london","local"
"BN3","Barnet - Strawberry Vale ","Urban Background",51.600885,-0.172298,"PM10","PM10 particulate matter (Hourly measured)",2000-08-15,"2002-05-15","Greater London","Greater London Urban Area","Londonair","london","local"
"BX5","Bexley - Bedonwell ","Suburban Background",51.478802,0.133874,"NO2","Nitrogen dioxide",1999-10-06,"2004-04-07","Greater London","Greater London Urban Area","Londonair","london","local"
"BX5","Bexley - Bedonwell ","Suburban Background",51.478802,0.133874,"SO2","Sulphur dioxide",1999-10-06,"2004-04-07","Greater London","Greater London Urban Area","Londonair","london","local"
"BX5","Bexley - Bedonwell ","Suburban Background",51.478802,0.133874,"CO","Carbon monoxide",1999-11-17,"2003-04-22","Greater London","Greater London Urban Area","Londonair","london","local"
"BX2","Bexley - Belvedere","Suburban Background",51.49061,0.158914,"NO2","Nitrogen dioxide",1998-01-24,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BX2","Bexley - Belvedere","Suburban Background",51.49061,0.158914,"PM10","PM10 particulate matter (Hourly measured)",1998-01-24,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BX2","Bexley - Belvedere","Suburban Background",51.49061,0.158914,"PM2.5","PM2.5 particulate matter (Hourly measured)",1998-01-24,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BX0","Bexley - Belvedere FDMS","Suburban Background",51.49061,0.158914,"PM10","PM10 particulate matter (Hourly measured)",2004-04-28,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BQ7","Bexley - Belvedere West","Urban Background",51.494649,0.137279,"O3","Ozone",2010-08-30,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BQ7","Bexley - Belvedere West","Urban Background",51.494649,0.137279,"NO2","Nitrogen dioxide",2010-08-27,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BQ7","Bexley - Belvedere West","Urban Background",51.494649,0.137279,"PM10","PM10 particulate matter (Hourly measured)",2010-09-02,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
